c304-006.ls6.tacc.utexas.edu
/work/06536/qezlou/hetdex/packs/private-het-data/scripts
Sun Sep  7 14:17:05 CDT 2025
Fibers | 09/07/2025 02:36:29 PM | INFO  |  Good fibers: 94863
Fibers | 09/07/2025 02:36:32 PM | INFO  |  working on shotid: 20240404015
Fibers | 09/07/2025 02:36:57 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:36:57 PM | INFO  |  Good fibers: 94533
Fibers | 09/07/2025 02:37:00 PM | INFO  |  working on shotid: 20240404016
Fibers | 09/07/2025 02:37:25 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:37:25 PM | INFO  |  Good fibers: 92856
Fibers | 09/07/2025 02:37:28 PM | INFO  |  working on shotid: 20240404017
Fibers | 09/07/2025 02:38:06 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:38:06 PM | INFO  |  Good fibers: 93195
Fibers | 09/07/2025 02:38:09 PM | INFO  |  progress 470/808
Fibers | 09/07/2025 02:38:09 PM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky.h5
Fibers | 09/07/2025 02:38:13 PM | INFO  |  working on shotid: 20240404018
Fibers | 09/07/2025 02:38:39 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:38:39 PM | INFO  |  Good fibers: 95202
Fibers | 09/07/2025 02:38:42 PM | INFO  |  working on shotid: 20240404019
Fibers | 09/07/2025 02:39:32 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:39:32 PM | INFO  |  Good fibers: 92856
Fibers | 09/07/2025 02:39:35 PM | INFO  |  working on shotid: 20240404021
Fibers | 09/07/2025 02:40:18 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:40:18 PM | INFO  |  Good fibers: 92520
Fibers | 09/07/2025 02:40:21 PM | INFO  |  working on shotid: 20240405007
Fibers | 09/07/2025 02:40:46 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:40:46 PM | INFO  |  Good fibers: 96198
Fibers | 09/07/2025 02:40:49 PM | INFO  |  working on shotid: 20240405008
Fibers | 09/07/2025 02:41:36 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:41:36 PM | INFO  |  Good fibers: 98217
Fibers | 09/07/2025 02:41:39 PM | INFO  |  working on shotid: 20240405013
Fibers | 09/07/2025 02:42:04 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:42:04 PM | INFO  |  Good fibers: 98214
Fibers | 09/07/2025 02:42:07 PM | INFO  |  working on shotid: 20240405014
Fibers | 09/07/2025 02:42:37 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:42:37 PM | INFO  |  Good fibers: 99231
Fibers | 09/07/2025 02:42:40 PM | INFO  |  working on shotid: 20240405015
Fibers | 09/07/2025 02:43:04 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:43:04 PM | INFO  |  Good fibers: 99558
Fibers | 09/07/2025 02:43:07 PM | INFO  |  working on shotid: 20240405016
Fibers | 09/07/2025 02:43:30 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:43:30 PM | INFO  |  Good fibers: 100230
Fibers | 09/07/2025 02:43:33 PM | INFO  |  working on shotid: 20240405017
Fibers | 09/07/2025 02:44:02 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:44:02 PM | INFO  |  Good fibers: 99894
Fibers | 09/07/2025 02:44:05 PM | INFO  |  progress 480/808
Fibers | 09/07/2025 02:44:05 PM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky.h5
Fibers | 09/07/2025 02:44:08 PM | INFO  |  working on shotid: 20240405018
Fibers | 09/07/2025 02:44:33 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:44:34 PM | INFO  |  Good fibers: 98550
Fibers | 09/07/2025 02:44:36 PM | INFO  |  working on shotid: 20240405020
Fibers | 09/07/2025 02:45:09 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:45:09 PM | INFO  |  Good fibers: 96879
Fibers | 09/07/2025 02:45:12 PM | INFO  |  working on shotid: 20240405023
Fibers | 09/07/2025 02:45:38 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:45:38 PM | INFO  |  Good fibers: 98854
Fibers | 09/07/2025 02:45:41 PM | INFO  |  working on shotid: 20240406006
Fibers | 09/07/2025 02:46:31 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:46:31 PM | INFO  |  Good fibers: 98892
Fibers | 09/07/2025 02:46:34 PM | INFO  |  working on shotid: 20240406007
Fibers | 09/07/2025 02:47:01 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:47:01 PM | INFO  |  Good fibers: 0
Fibers | 09/07/2025 02:47:02 PM | INFO  |  working on shotid: 20240407016
Fibers | 09/07/2025 02:47:27 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:47:27 PM | INFO  |  Good fibers: 99222
Fibers | 09/07/2025 02:47:30 PM | INFO  |  working on shotid: 20240408015
Fibers | 09/07/2025 02:47:58 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:47:58 PM | INFO  |  Good fibers: 95874
Fibers | 09/07/2025 02:48:00 PM | INFO  |  working on shotid: 20240408016
Fibers | 09/07/2025 02:48:25 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:48:25 PM | INFO  |  Good fibers: 100572
Fibers | 09/07/2025 02:48:28 PM | INFO  |  working on shotid: 20240408017
Fibers | 09/07/2025 02:48:52 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:48:52 PM | INFO  |  Good fibers: 100230
Fibers | 09/07/2025 02:48:55 PM | INFO  |  working on shotid: 20240408025
Fibers | 09/07/2025 02:49:20 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:49:20 PM | INFO  |  Good fibers: 93189
Fibers | 09/07/2025 02:49:23 PM | INFO  |  progress 490/808
Fibers | 09/07/2025 02:49:23 PM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky.h5
Fibers | 09/07/2025 02:49:28 PM | INFO  |  working on shotid: 20240409008
Fibers | 09/07/2025 02:49:55 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:49:55 PM | INFO  |  Good fibers: 99894
Fibers | 09/07/2025 02:49:58 PM | INFO  |  working on shotid: 20240409010
Fibers | 09/07/2025 02:50:46 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 02:50:46 PM | INFO  |  Good fibers: 97884
Fibers | 09/07/2025 02:50:48 PM | INFO  |  working on shotid: 20240409011
Fibers | 09/07/2025 02:51:14 PM | INFO  |  Total fibers: 104496
