v320-024.ls6.tacc.utexas.edu
/work/06536/qezlou/hetdex/packs/private-het-data/scripts
Tue Sep  9 18:55:10 CDT 2025
WARNING!!!! CANNOT IMPORT hetdex_api.flux_limits.shot_sensitivity ShotSensitivity:  No module named 'pyhetdex'
Fibers | 09/09/2025 07:08:12 PM | INFO  |  working on shotid: 20230915017
Fibers | 09/09/2025 07:08:37 PM | INFO  |  Total fibers: 102144
Fibers | 09/09/2025 07:08:38 PM | INFO  |  Good fibers: 96858, Fraction of good pixels 0.9715690549178748
Fibers | 09/09/2025 07:08:45 PM | INFO  |   Remaining fraction after removing continuum sources 0.5201841871605856 
Fibers | 09/09/2025 07:08:46 PM | INFO  |  working on shotid: 20230915019
Fibers | 09/09/2025 07:09:14 PM | INFO  |  Total fibers: 102144
Fibers | 09/09/2025 07:09:15 PM | INFO  |  Good fibers: 95520, Fraction of good pixels 0.9715647292123423
Fibers | 09/09/2025 07:09:22 PM | INFO  |   Remaining fraction after removing continuum sources 0.6219325795644891 
Fibers | 09/09/2025 07:09:23 PM | INFO  |  working on shotid: 20230915021
Fibers | 09/09/2025 07:09:50 PM | INFO  |  Total fibers: 102144
Fibers | 09/09/2025 07:09:52 PM | INFO  |  Good fibers: 96189, Fraction of good pixels 0.9715144042951797
Fibers | 09/09/2025 07:09:58 PM | INFO  |   Remaining fraction after removing continuum sources 0.6364553119379555 
Fibers | 09/09/2025 07:10:00 PM | INFO  |  working on shotid: 20230915022
Fibers | 09/09/2025 07:10:29 PM | INFO  |  Total fibers: 102144
Fibers | 09/09/2025 07:10:31 PM | INFO  |  Good fibers: 91527, Fraction of good pixels 0.9716270718352071
Fibers | 09/09/2025 07:10:37 PM | INFO  |   Remaining fraction after removing continuum sources 0.5968512023774405 
Fibers | 09/09/2025 07:10:39 PM | INFO  |  working on shotid: 20230918020
Fibers | 09/09/2025 07:11:05 PM | INFO  |  Total fibers: 102144
Fibers | 09/09/2025 07:11:07 PM | INFO  |  Good fibers: 98202, Fraction of good pixels 0.9715337167680297
Fibers | 09/09/2025 07:11:13 PM | INFO  |   Remaining fraction after removing continuum sources 0.39826072788741573 
Fibers | 09/09/2025 07:11:15 PM | INFO  |  working on shotid: 20230918021
Fibers | 09/09/2025 07:11:44 PM | INFO  |  Total fibers: 102144
Fibers | 09/09/2025 07:11:45 PM | INFO  |  Good fibers: 96152, Fraction of good pixels 0.9715912421966378
Fibers | 09/09/2025 07:11:52 PM | INFO  |   Remaining fraction after removing continuum sources 0.5180131458524003 
Fibers | 09/09/2025 07:11:53 PM | INFO  |  working on shotid: 20230918022
Fibers | 09/09/2025 07:12:18 PM | INFO  |  Total fibers: 102144
Fibers | 09/09/2025 07:12:20 PM | INFO  |  Good fibers: 97194, Fraction of good pixels 0.9715932740656489
Fibers | 09/09/2025 07:12:26 PM | INFO  |   Remaining fraction after removing continuum sources 0.46719962137580506 
Fibers | 09/09/2025 07:12:27 PM | INFO  |  working on shotid: 20230918023
Fibers | 09/09/2025 07:12:54 PM | INFO  |  Total fibers: 102144
Fibers | 09/09/2025 07:12:56 PM | INFO  |  Good fibers: 97212, Fraction of good pixels 0.9714943652189054
Fibers | 09/09/2025 07:13:02 PM | INFO  |   Remaining fraction after removing continuum sources 0.3909702505863474 
Fibers | 09/09/2025 07:13:03 PM | INFO  |  working on shotid: 20230918024
Fibers | 09/09/2025 07:13:30 PM | INFO  |  Total fibers: 102144
Fibers | 09/09/2025 07:13:32 PM | INFO  |  Good fibers: 97866, Fraction of good pixels 0.9716262217181842
Fibers | 09/09/2025 07:13:38 PM | INFO  |   Remaining fraction after removing continuum sources 0.48229211370649666 
